run	time	zone	id.fire	target.area	burnt.area
1	70	ZA	3	196	196
1	70	ZA	4	1132	1132
1	70	ZA	5	776	776
1	70	ZA	6	44	44
1	70	ZA	7	20	20
1	70	ZA	8	128	128
1	70	ZA	9	616	616
1	70	ZA	10	808	808
1	70	ZA	11	68	12
1	70	ZA	12	204	204
1	70	ZA	13	60	60
1	70	ZA	14	576	576
1	70	ZA	15	1252	1252
1	70	ZA	16	4	4
1	70	ZC	17	16	16
1	70	ZC	18	68	68
1	70	ZC	19	124	48
1	70	ZC	20	52	52
1	70	ZC	21	152	152
1	70	ZC	22	100	100
1	70	ZC	23	64	64
1	70	ZC	24	52	52
1	70	ZC	25	28	28
1	70	ZC	26	56	56
1	70	ZC	27	156	156
1	70	ZC	28	60	60
1	70	ZC	29	56	56
1	70	ZC	30	44	44
1	70	ZC	31	28	28
1	70	ZC	32	0	4
1	70	ZC	33	44	44
1	70	ZD	34	28	28
1	70	ZD	35	16	16
1	70	ZD	36	16	16
1	70	ZD	37	16	16
1	70	ZD	38	4	4
1	70	ZD	39	20	20
1	70	ZB	40	1392	1392
1	70	ZB	41	116	116
1	70	ZB	42	56	56
1	70	ZB	43	248	4
1	70	ZB	44	172	172
1	70	ZB	45	108	108
1	70	ZB	46	92	92
1	70	ZB	47	460	460
1	70	ZB	48	60	60
1	70	ZB	49	12	12
1	70	ZB	50	80	80
1	70	ZB	51	1072	1072
1	70	ZB	52	28	28
1	70	ZB	53	32	32
1	70	ZB	54	104	104
1	75	ZB	1	124	124
1	75	ZB	2	52	52
1	75	ZB	3	44	44
1	75	ZB	4	284	284
1	75	ZB	5	196	196
1	75	ZB	6	180	180
1	75	ZB	7	80	80
1	75	ZB	8	36	36
1	75	ZB	9	48	48
1	75	ZB	10	172	172
1	75	ZB	11	64	64
1	75	ZB	12	112	112
1	75	ZB	13	72	72
1	75	ZB	14	660	660
1	75	ZB	15	1352	1352
1	75	ZA	16	1196	1196
1	75	ZA	17	52	20
1	75	ZA	18	28	28
1	75	ZA	19	1496	1496
1	75	ZA	20	84	84
1	75	ZA	21	40	40
1	75	ZA	22	100	100
1	75	ZA	23	112	112
1	75	ZA	24	192	192
1	75	ZA	25	588	588
1	75	ZA	26	88	88
1	75	ZA	27	460	460
1	75	ZA	28	28	28
1	75	ZA	29	76	76
1	75	ZA	30	1204	1204
1	75	ZA	31	188	188
1	75	ZC	32	192	192
1	75	ZC	33	56	56
1	75	ZC	34	44	44
1	75	ZC	35	68	68
1	75	ZC	36	12	12
1	75	ZC	37	80	80
1	75	ZC	38	44	44
1	75	ZC	39	44	44
1	75	ZC	40	12	12
1	75	ZC	41	116	116
1	75	ZC	42	88	88
1	75	ZC	43	72	72
1	75	ZC	44	56	56
1	75	ZC	45	88	88
1	75	ZC	46	0	4
1	75	ZC	47	12	12
1	75	ZC	48	52	52
1	75	ZD	49	40	40
1	75	ZD	50	36	36
1	75	ZD	51	0	4
1	75	ZD	52	24	24
1	75	ZD	53	4	4
1	75	ZD	54	24	24
1	80	ZB	1	752	284
1	80	ZB	2	56	56
1	80	ZB	3	120	120
1	80	ZB	4	16	16
1	80	ZB	5	48	48
1	80	ZB	6	104	104
1	80	ZB	7	52	52
1	80	ZB	8	232	232
1	80	ZB	9	40	40
1	80	ZB	10	40	40
1	80	ZB	11	52	52
1	80	ZB	12	1012	1012
1	80	ZB	13	908	908
1	80	ZB	14	96	96
1	80	ZB	15	76	76
1	80	ZD	16	8	8
1	80	ZD	17	40	40
1	80	ZD	18	24	24
1	80	ZD	19	12	12
1	80	ZD	20	0	4
1	80	ZD	21	4	4
1	80	ZC	22	44	44
1	80	ZC	23	84	84
1	80	ZC	24	112	112
1	80	ZC	25	8	8
1	80	ZC	26	80	80
1	80	ZC	27	80	80
1	80	ZC	28	12	12
1	80	ZC	29	8	8
1	80	ZC	30	48	48
1	80	ZC	31	12	12
1	80	ZC	32	108	108
1	80	ZC	33	128	128
1	80	ZC	34	20	20
1	80	ZC	35	16	16
1	80	ZC	36	76	76
1	80	ZC	37	192	192
1	80	ZC	38	68	68
1	80	ZA	39	136	136
1	80	ZA	40	724	724
1	80	ZA	41	96	96
1	80	ZA	42	140	140
1	80	ZA	43	56	56
1	80	ZA	44	580	580
1	80	ZA	45	36	36
1	80	ZA	46	1096	1096
1	80	ZA	47	48	48
1	80	ZA	48	96	96
1	80	ZA	49	128	88
1	80	ZA	50	1596	1596
1	80	ZA	51	332	332
1	80	ZA	52	76	76
1	80	ZA	53	520	520
1	85	ZB	1	40	40
1	85	ZB	2	344	344
1	85	ZB	3	1324	908
1	85	ZB	4	36	36
1	85	ZB	5	52	52
1	85	ZB	6	32	32
1	85	ZB	7	220	220
1	85	ZB	8	140	140
1	85	ZB	9	124	124
1	85	ZB	10	1072	1072
1	85	ZB	11	112	112
1	85	ZB	12	152	152
1	85	ZB	13	136	136
1	85	ZB	14	148	148
1	85	ZB	15	980	980
1	85	ZA	16	124	124
1	85	ZA	17	44	44
1	85	ZA	18	1408	1408
1	85	ZA	19	1384	1384
1	85	ZA	20	60	60
1	85	ZA	21	448	448
1	85	ZA	22	360	360
1	85	ZA	23	176	176
1	85	ZA	24	192	192
1	85	ZA	25	0	4
1	85	ZA	26	12	12
1	85	ZA	27	76	76
1	85	ZA	28	36	36
1	85	ZA	29	252	252
1	85	ZA	30	1664	1664
1	85	ZD	31	0	4
1	85	ZD	32	12	12
1	85	ZD	33	28	4
1	85	ZD	34	32	32
1	85	ZD	35	64	64
1	85	ZC	36	384	384
1	85	ZC	37	28	28
1	85	ZC	38	356	356
1	85	ZC	39	320	320
1	85	ZC	40	48	48
1	85	ZC	41	80	80
1	85	ZC	42	192	192
1	85	ZC	43	40	40
1	85	ZC	44	76	76
1	85	ZC	45	36	36
1	85	ZC	46	72	72
1	85	ZC	47	112	112
1	85	ZC	48	36	36
1	85	ZC	49	132	132
1	85	ZC	50	68	68
1	85	ZC	51	20	20
1	85	ZC	52	160	160
1	90	ZC	1	32	32
1	90	ZC	2	32	32
1	90	ZC	3	72	72
1	90	ZC	4	72	72
1	90	ZC	5	76	76
